Frame,Prediction,Confidence,FPS
653,crocodile,0.993,0.49
654,crocodile,0.994,0.48
655,crocodile,0.9925,0.49
656,crocodile,0.9893,0.47
657,crocodile,0.9883,0.49
658,crocodile,0.9901,0.48
659,crocodile,0.9929,0.5
660,crocodile,0.9875,0.47
661,crocodile,0.9851,0.49
662,crocodile,0.9908,0.46
663,crocodile,0.9876,0.49
664,crocodile,0.982,0.48
665,crocodile,0.9817,0.49
666,crocodile,0.9707,0.47
667,crocodile,0.9657,0.49
668,crocodile,0.9715,0.46
669,crocodile,0.9771,0.48
670,non-crocodile,0.8157,0.45
671,crocodile,0.652,0.46
672,crocodile,0.8278,0.49
673,crocodile,0.6933,0.47
674,non-crocodile,0.9261,0.48
675,crocodile,0.5377,0.45
676,non-crocodile,0.7585,0.46
677,non-crocodile,0.8931,0.49
678,non-crocodile,0.7938,0.47
679,non-crocodile,0.5479,0.48
680,crocodile,0.5811,0.48
681,crocodile,0.502,0.48
682,crocodile,0.5864,0.44
683,crocodile,0.7294,0.46
684,crocodile,0.762,0.48
685,crocodile,0.8879,0.44
686,crocodile,0.9032,0.45
687,crocodile,0.9064,0.48
688,crocodile,0.867,0.49
689,crocodile,0.8509,0.48
690,crocodile,0.8448,0.47
691,crocodile,0.8786,0.48
692,crocodile,0.8914,0.45
693,crocodile,0.8619,0.45
694,crocodile,0.8137,0.5
695,crocodile,0.8597,0.48
696,crocodile,0.7488,0.49
697,crocodile,0.7144,0.47
698,crocodile,0.6714,0.48
699,crocodile,0.7984,0.45
700,crocodile,0.6548,0.45
701,crocodile,0.8377,0.47
702,crocodile,0.7195,0.45
703,crocodile,0.7997,0.46
704,crocodile,0.7427,0.47
705,crocodile,0.825,0.45
706,crocodile,0.7751,0.47
707,crocodile,0.5919,0.49
708,crocodile,0.6706,0.46
709,crocodile,0.5777,0.49
710,crocodile,0.6093,0.46
711,crocodile,0.8125,0.49
712,crocodile,0.8351,0.48
713,crocodile,0.811,0.47
714,crocodile,0.9459,0.49
715,crocodile,0.9163,0.47
716,crocodile,0.916,0.49
717,crocodile,0.7974,0.48
718,crocodile,0.8572,0.49
719,crocodile,0.8757,0.48
720,crocodile,0.8059,0.48
721,non-crocodile,0.5406,0.49
722,crocodile,0.9637,0.49
723,crocodile,0.9704,0.45
724,crocodile,0.9678,0.49
725,crocodile,0.9121,0.45
726,crocodile,0.9267,0.49
727,crocodile,0.9006,0.47
728,crocodile,0.8922,0.5
729,crocodile,0.9161,0.47
730,crocodile,0.912,0.5
731,crocodile,0.9318,0.47
732,crocodile,0.9299,0.48
733,crocodile,0.9396,0.44
734,crocodile,0.933,0.46
735,crocodile,0.9309,0.49
736,crocodile,0.9223,0.47
737,crocodile,0.9133,0.49
738,crocodile,0.9264,0.47
739,crocodile,0.9344,0.49
740,crocodile,0.9194,0.47
741,crocodile,0.9101,0.49
742,crocodile,0.8911,0.46
743,crocodile,0.8858,0.49
744,crocodile,0.895,0.46
745,crocodile,0.88,0.5
746,crocodile,0.8791,0.47
747,crocodile,0.902,0.49
748,crocodile,0.9168,0.47
749,crocodile,0.8969,0.48
750,crocodile,0.8796,0.46
751,crocodile,0.8916,0.49
752,crocodile,0.8777,0.48
753,crocodile,0.8834,0.49
754,crocodile,0.9491,0.47
755,crocodile,0.9905,0.49
756,crocodile,0.9988,0.48
757,crocodile,0.999,0.49
758,crocodile,0.9991,0.48
759,crocodile,0.9993,0.47
760,crocodile,0.999,0.44
761,crocodile,0.9993,0.47
762,crocodile,0.9993,0.5
763,crocodile,0.9991,0.48
764,crocodile,0.9992,0.49
765,crocodile,0.9991,0.46
766,crocodile,0.9988,0.5
767,crocodile,0.9992,0.46
768,crocodile,0.9991,0.47
769,crocodile,0.9985,0.44
770,crocodile,0.9971,0.47
771,crocodile,0.9988,0.49
772,crocodile,0.9979,0.47
773,crocodile,0.9971,0.49
774,crocodile,0.9966,0.47
775,crocodile,0.9972,0.49
776,crocodile,0.9982,0.46
777,crocodile,0.9968,0.49
778,crocodile,0.9965,0.49
